top - 15:59:45 up 5 days, 22:49,  1 user,  load average: 2.51, 2.21, 2.02
Tasks: 409 total,   1 running, 408 sleeping,   0 stopped,   0 zombie
%Cpu(s): 20.6 us, 12.7 sy,  0.0 ni, 66.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15638.5 total,    285.3 free,   6413.6 used,   8939.6 buff/cache
MiB Swap:   2048.0 total,   2012.7 free,     35.3 used.   7664.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    189 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    190 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    191 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    193 root      20   0       0      0      0 S   0.0   0.0   0:00.03 scsi_eh+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    196 root     -51   0       0      0      0 S   0.0   0.0   1:11.53 irq/51-+
    216 root       0 -20       0      0      0 I   0.0   0.0   0:04.27 kworker+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    260 root      19  -1   79024  41092  39380 S   0.0   0.3   0:10.63 systemd+
    295 root      20   0   25324   7516   3892 S   0.0   0.0   0:01.79 systemd+
    364 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    371 root     -51   0       0      0      0 S   0.0   0.0   5:58.03 irq/130+
    378 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    398 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    399 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    400 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    563 systemd+  20   0   25468  13752   9248 S   0.0   0.1   0:15.48 systemd+
    691 root      20   0    2548    772    700 S   0.0   0.0   0:03.02 acpid
    693 avahi     20   0   19948   4784   3216 S   0.0   0.0   3:34.30 avahi-d+
    694 root      20   0    8700   4888   4336 S   0.0   0.0   0:03.32 bluetoo+
    695 message+  20   0   34828   6760   3828 S   0.0   0.0   0:52.32 dbus-da+
    697 root      20   0  887188  22460  16648 S   0.0   0.1   1:20.97 Network+
    706 root      20   0   81892   3476   3144 S   0.0   0.0   0:10.35 irqbala+
    708 root      20   0   39752  19696  11500 S   0.0   0.1   0:00.14 network+
    710 root      20   0  266004  11328   7076 S   0.0   0.1   0:06.02 polkitd
    712 syslog    20   0  234536   5016   3444 S   0.0   0.0   0:02.00 rsyslogd
    714 root      20   0 1097040  33200  16108 S   0.0   0.2   0:12.84 snapd
    719 root      20   0   48976  13128  11536 S   0.0   0.1   0:00.53 sssd
    720 root      20   0  235624   5992   5452 S   0.0   0.0   0:00.02 switche+
    722 root      20   0  126280   9172   8348 S   0.0   0.1   0:07.88 thermald
    723 root      20   0  393820  13188  10184 S   0.0   0.1   0:12.26 udisksd
    724 root      20   0   14400   8380   6956 S   0.0   0.1   0:06.25 wpa_sup+
    734 avahi     20   0   18560    332      0 S   0.0   0.0   0:00.00 avahi-d+
    778 root      20   0   24164   9520   8124 S   0.0   0.1   0:00.08 certmon+
    783 root      20   0 7776716 365144  33696 S   0.0   2.3  55:35.66 java
    784 root      20   0 7791244 119696  37840 S   0.0   0.7  54:16.99 java
    786 root      20   0   40900   5188   4720 S   0.0   0.0   0:00.00 oddjobd
    800 root      20   0  111780  22472  18152 S   0.0   0.1   0:06.04 sssd_be
    802 root      20   0  315248  11080   9072 S   0.0   0.1   0:00.67 ModemMa+
    813 _chrony   20   0   13024   2352   2040 S   0.0   0.0   0:01.19 chronyd
    820 _chrony   20   0    4864   2136   1928 S   0.0   0.0   0:00.01 chronyd
    839 root      20   0   12208   5812   4972 S   0.0   0.0   0:00.00 sshd
    902 root      20   0   62460  19468  17764 S   0.0   0.1   0:01.59 sssd_nss
    903 root      20   0   38160  12936  11220 S   0.0   0.1   0:01.40 sssd_pam
    904 root      20   0   37592  12060  10568 S   0.0   0.1   0:00.91 sssd_ssh
    905 root      20   0   37828  12584  10864 S   0.0   0.1   0:01.05 sssd_su+
    906 root      20   0   78104  16144  13972 S   0.0   0.1   0:00.89 sssd_pac
