top - 15:59:45 up 5 days, 22:49,  1 user,  load average: 2.51, 2.21, 2.02
Tasks: 409 total,   1 running, 408 sleeping,   0 stopped,   0 zombie
%Cpu(s): 20.6 us, 12.7 sy,  0.0 ni, 66.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15638.5 total,    285.3 free,   6413.6 used,   8939.6 buff/cache
MiB Swap:   2048.0 total,   2012.7 free,     35.3 used.   7664.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 120148 root      20   0   22984  10044   6388 S   0.0   0.1   0:07.33 systemd
 120555 root      19  -1   29592  13212  11908 S   0.0   0.1   0:03.39 systemd+
 120589 tcpdump   20   0    7008   1288    960 S   0.0   0.0   0:00.02 dbus-da+
 120646 root      20   0   12184   5600   4680 S   0.0   0.0   0:00.05 sshd
 123114 root      20   0 1721640 111676  69236 S   0.0   0.7   5:52.53 kubelet
 124879 aren.ch+  20   0   36.6g 158652 112504 S   0.0   1.0   0:48.60 code
 124955 aren.ch+  20   0   32.2g  48640  40164 S   0.0   0.3   0:00.08 code
 124956 aren.ch+  20   0   32.2g  47864  39520 S   0.0   0.3   0:00.06 code
 124958 aren.ch+  20   0   32.2g  12448   3960 S   0.0   0.1   0:00.00 code
 124986 aren.ch+  20   0   32.0g  11292   9836 S   0.0   0.1   0:00.05 chrome_+
 125013 aren.ch+  20   0   32.3g  66792  57032 S   0.0   0.4   0:01.05 code
 125029 aren.ch+  20   0   50.5g 194856 113888 S   0.0   1.2   2:33.64 code
 125117 aren.ch+  20   0   36.5g 128348  71228 S   0.0   0.8   0:09.58 code
 125154 aren.ch+  20   0   36.4g  87512  58696 S   0.0   0.5   0:20.83 code
 125193 aren.ch+  20   0   36.4g  76204  58396 S   0.0   0.5   0:01.47 code
 125314 aren.ch+  20   0  803276  97184  11620 S   0.0   0.6   0:07.43 terrafo+
 149751 root      20   0 1939432  55832  31340 S   0.0   0.3   0:46.34 contain+
 150398 root      20   0 3169008  96184  49920 S   0.0   0.6   6:06.56 dockerd
 150656 root      20   0  751480  41068  25856 S   0.0   0.3   4:49.82 cri-doc+
 151101 root      20   0  712200   9820   7500 S   0.0   0.1   0:00.79 contain+
 151122 65535     20   0     972      4      0 S   0.0   0.0   0:00.09 pause
 151141 root      20   0  712200   9764   7308 S   0.0   0.1   0:00.79 contain+
 151172 65535     20   0     972      4      0 S   0.0   0.0   0:00.04 pause
 151185 root      20   0  712456  10052   7624 S   0.0   0.1   0:00.79 contain+
 151208 root      20   0  712200   9532   7296 S   0.0   0.1   0:00.81 contain+
 151231 root      20   0  712520   9940   7740 S   0.0   0.1   0:00.85 contain+
 151242 root      20   0  712200   8580   6588 S   0.0   0.1   0:00.88 contain+
 151248 65535     20   0     972      4      0 S   0.0   0.0   0:00.05 pause
 151301 root      20   0  712456   9856   7564 S   0.0   0.1   0:00.80 contain+
 151306 root      20   0  712456   9824   7552 S   0.0   0.1   0:00.82 contain+
 151336 root      20   0  712456   9652   7232 S   0.0   0.1   0:00.84 contain+
 151348 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
 151406 65535     20   0     972      4      0 S   0.0   0.0   0:00.08 pause
 151415 65535     20   0     972      4      0 S   0.0   0.0   0:00.08 pause
 151426 65535     20   0     972      4      0 S   0.0   0.0   0:00.09 pause
 151427 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
 151457 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
 151527 root      20   0  712456   9796   7548 S   0.0   0.1   0:04.61 contain+
 151594 root      20   0  712456  10280   7932 S   0.0   0.1   0:04.61 contain+
 151648 root      20   0  757736  41988  31668 S   0.0   0.3   0:02.66 kube-pr+
 151666 root      20   0  712456  10092   7484 S   0.0   0.1   0:04.60 contain+
 151675 root      20   0  712456   9860   7420 S   0.0   0.1   0:04.58 contain+
 151783 root      20   0   10.7g  68924  24316 S   0.0   0.4   4:08.41 etcd
 151955 root      20   0  712456   9748   7292 S   0.0   0.1   0:04.53 contain+
 152001 root      20   0  712200   9672   7292 S   0.0   0.1   0:04.87 contain+
 152031 root      20   0  753288  46052  33720 S   0.0   0.3   0:19.60 coredns
 152051 aren      20   0  987924  25140  19656 S   0.0   0.2   0:02.11 metrics+
 152116 root      20   0  712200   9724   7420 S   0.0   0.1   0:04.64 contain+
 152137 root      20   0  765260  53732  39172 S   0.0   0.3   0:32.26 kube-sc+
 152884 aren      20   0  749372  33628  25532 S   0.0   0.2   0:02.73 dashboa+
 153141 root      20   0  712200   9756   7360 S   0.0   0.1   0:04.55 contain+
 153162 root      20   0  735984  30784  21940 S   0.0   0.2   0:22.07 storage+
 163140 root       0 -20       0      0      0 I   0.0   0.0   0:02.94 kworker+
 193415 aren.ch+  20   0 1129.9g 133952 101416 S   0.0   0.8   0:03.41 chrome
 193558 aren.ch+  20   0 1129.9g 184592 113920 S   0.0   1.2   0:46.71 chrome
 193615 aren.ch+  20   0 1131.0g 368984 138256 S   0.0   2.3   1:14.56 chrome
 193629 aren.ch+  20   0   32.5g 121912  81820 S   0.0   0.8   1:14.47 code
 225979 root      20   0       0      0      0 I   0.0   0.0   0:02.65 kworker+
 234849 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 243327 root      20   0       0      0      0 I   0.0   0.0   0:02.18 kworker+
 243445 root      20   0       0      0      0 I   0.0   0.0   0:02.04 kworker+
 243527 root      20   0       0      0      0 I   0.0   0.0   0:00.91 kworker+
 243534 root      20   0       0      0      0 I   0.0   0.0   0:00.93 kworker+
 243575 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/127+
 249700 root      20   0       0      0      0 I   0.0   0.0   0:01.58 kworker+
 250051 aren.ch+  20   0 1129.9g 199500 112028 S   0.0   1.2   0:27.62 chrome
 250074 root      20   0       0      0      0 I   0.0   0.0   0:00.42 kworker+
 250077 root      20   0       0      0      0 I   0.0   0.0   0:04.08 kworker+
 250128 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
 251638 root      20   0       0      0      0 I   0.0   0.0   0:01.31 kworker+
 252151 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 253223 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 256316 root       0 -20       0      0      0 I   0.0   0.0   0:00.09 kworker+
 256328 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
 256778 aren.ch+  20   0   54.5g 226392 120508 S   0.0   1.4   0:36.45 code
 256795 aren.ch+  20   0   36.4g  75168  58876 S   0.0   0.5   0:00.54 code
 256796 aren.ch+  20   0   36.5g 131924  71692 S   0.0   0.8   0:03.89 code
 257034 aren.ch+  20   0  734264  46068  11624 S   0.0   0.3   0:01.65 terrafo+
 257435 aren.ch+  20   0   19584   5976   4180 S   0.0   0.0   0:01.09 bash
 258211 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker+
 258626 aren.ch+  20   0   19584   5652   3852 S   0.0   0.0   0:01.18 bash
 259074 root      20   0       0      0      0 I   0.0   0.0   0:00.69 kworker+
 259087 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 259092 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 260932 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
 261386 aren.ch+  20   0  773256  63368  39292 S   0.0   0.4   0:01.18 terrafo+
 261684 aren.ch+  20   0  715248  14800  10888 S   0.0   0.1   0:00.05 terrafo+
 262206 root      20   0  712200   8704   6540 S   0.0   0.1   0:00.02 contain+
 262225 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
 262264 root      20   0  712456   9632   7500 S   0.0   0.1   0:00.04 contain+
 262285 65535     20   0     972      4      0 S   0.0   0.0   0:00.03 pause
 262619 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 262641 root      20   0  712456   9752   7360 S   0.0   0.1   0:00.52 contain+
 262662 aren      20   0   53676   8892   6680 S   0.0   0.1   0:00.37 redis-s+
 262716 root      20   0  712456  10544   7752 S   0.0   0.1   0:00.48 contain+
 262738 aren      20   0  129740   8924   6672 S   0.0   0.1   0:00.34 redis-s+
 264040 root      20   0  711944   9528   7372 S   0.0   0.1   0:00.03 contain+
 264061 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
 264132 root      20   0  712456  10296   7564 S   0.0   0.1   0:00.19 contain+
 264152 aren      20   0  129740   8636   6428 S   0.0   0.1   0:00.21 redis-s+
 264227 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 265357 root      20   0  711880   8892   7044 S   0.0   0.1   0:00.02 contain+
 265415 65535     20   0     972      4      0 S   0.0   0.0   0:00.06 pause
 265503 root      20   0  712200  10632   7628 S   0.0   0.1   0:00.05 contain+
 265529 aren      20   0  129740   8752   6532 S   0.0   0.1   0:00.14 redis-s+
 266129 aren.ch+  20   0 1129.9g  65788  50144 S   0.0   0.4   0:00.02 chrome
 266956 aren.ch+  20   0    2616    596    528 S   0.0   0.0   0:00.00 sh
